kinase_inhibitor	H3K4me0	H3K4me1	H3K4me2	H3K4me3	H3K4ac1	H3K9me0K14ac0	H3K9me1K14ac0	H3K9me2K14ac0	H3K9me3K14ac0	H3K9ac1K14ac0	H3K9me0K14ac1	H3K9me1K14ac1	H3K9me2K14ac1	H3K9me3K14ac1	H3K9ac1K14ac1	H3K9me0S10ph1K14ac0	H3K9me1S10ph1K14ac0	H3K9me2S10ph1K14ac0	H3K9me3S10ph1K14ac0	H3K9ac1S10ph1K14ac0	H3K9me0S10ph1K14ac1	H3K9me1S10ph1K14ac1	H3K9me2S10ph1K14ac1	H3K9me3S10ph1K14ac1	H3K9ac1S10ph1K14ac1	H3K18ac0K23ac0	H3K18ac1K23ac0	H3K18ac0K23ac1	H3K18ac1K23ac1	H3K18ub1K23ac0	H3K18ac0K23ub1	H3K27me0K36me0	H3K27me1K36me0	H3K27me1K36me1	H3K27me1K36me2	H3K27me1K36me3	H3K27me2K36me0	H3K27me2K36me1	H3K27me2K36me2	H3K27me2K36me3	H3K27me3K36me0	H3K27me3K36me1	H3K27me3K36me2	H3K27me3K36me3	H3K27ac1K36me0	H3K27ac1K36me1	H3K27ac1K36me2	H3K27ac1K36me3	H3.3K27me0K36me0	H3NORM(41-49)	H3NORM(41-49)	H3K56me0	H3K56me1	H3K56me2	H3K79me0	H3K79me1	H3K79me2	H3K27me0K36me1	H3K27me0K36me2	H3K27me0K36me3
afuresertib_24	-1.67342	-1.62144	-1.64135	-1.71723	-1.80701	-1.42446	-1.65207	-1.32725	-1.71441	-1.96147	-1.76413	-1.81367	-1.58669	-1.77444	-2.07983	-1.71446	-1.55713	-2.57978	-2.30858	1.92750	-0.85244	-0.70461	-2.85107	-0.69052	3.22700	-1.78771	-2.30955	-1.90585	-2.37715	2.51228	-1.97901	-2.09445	-1.92522	-1.83423	-1.92888	-1.57945	-1.87523	-1.79065	-1.48844	-1.61350	-2.91723	-1.76002	-1.62554	-1.64508	-2.46137	-1.29588	-2.59863	-2.07282	-1.54758	-1.54886	-1.92027	-0.61706	0.23628	-1.46510	-1.22652	-1.36225	-1.33872	-1.97088	-1.84178	-1.85741
AR A014418_24	-1.94906	-2.01874	-1.75082	-1.70236	-2.17411	-1.78910	-1.91083	-1.84087	-1.89213	-2.20753	-1.95188	-2.16668	-1.77850	-2.11844	-2.30944	-2.19823	-2.22980	-2.23841	-2.27029	-2.46153	-1.73870	-2.40760	-2.45069	-2.38689	-1.74969	-2.04256	-2.51466	-2.12172	-2.57962	-2.58421	-2.00837	-2.18384	-2.19131	-2.10279	-2.12152	-1.99062	-2.23703	-2.09462	-2.04578	-2.08176	-2.47736	-2.15520	-1.95274	-2.17586	-2.27795	-2.35710	-2.62795	-2.27931	-2.11968	-2.06367	-2.30115	-1.65624	-2.20358	-1.69814	-2.07880	-2.09120	-1.78376	-2.06979	-2.12065	-2.01179
BMS-345541_24	-1.32921	-1.27440	-1.09038	-1.18984	-1.46020	-1.03327	-1.41703	-1.05406	-1.31389	-1.60336	-1.16149	-1.40393	-1.07702	-1.37821	-1.62338	-1.10915	-0.83349	-1.11530	-1.15347	-2.61279	-1.16664	-1.03332	-1.31393	-1.23325	-2.72614	-1.18572	-1.61312	-0.98748	-1.44669	-2.35788	0.41615	-1.56305	-1.23274	-1.11511	-1.38883	-1.11148	-1.15647	-1.15175	-0.94035	-1.48706	-1.80702	-1.02093	-1.13784	-1.56421	-1.35663	-1.41570	-1.38460	-1.23338	-1.16392	-1.07500	-1.36496	-0.28482	-0.71232	0.27956	-0.73055	-0.97196	-0.89319	-1.36767	-1.32211	-1.25547
BMS-906024_24	-0.87629	-1.03497	-1.02042	-1.16940	-1.09475	-0.70785	-1.00561	-0.64235	-0.97522	-1.02700	-0.93911	-1.16797	-0.73000	-1.04647	-1.11025	-1.42877	-1.28183	-1.42222	-1.39058	2.63450	-0.67038	-1.36287	-1.58934	-1.36990	-1.58511	-0.84508	-1.23978	-1.04686	-1.45728	0.24601	-0.62351	-1.10401	-0.91629	-0.92955	-1.07160	-0.82304	-1.09228	-0.93314	-0.85053	-1.30210	-1.14151	-1.25935	-1.15509	-1.38664	-1.11701	-0.27925	-1.45010	-1.07610	-0.91634	-0.90421	-1.17310	-0.33208	-1.68250	2.23913	-0.58869	-0.77688	-0.50353	-1.27783	-1.11823	-1.21248
BYL719_24	-1.41983	-1.45240	-1.39926	-1.47393	-1.56602	-1.18173	-1.45234	-1.13331	-1.57634	-1.78081	-1.54858	-1.63622	-1.49782	-1.58364	-1.89912	-2.62887	-2.43646	-2.39180	-2.25249	4.58276	-2.97252	-2.88900	-2.73897	-2.72074	3.22700	-1.64428	-2.14863	-1.73181	-2.10641	2.51228	-3.53429	-2.07365	-1.75194	-1.53180	-1.79226	-1.40459	-1.67817	-1.48753	-1.19273	-1.47853	-2.68175	-1.42369	-1.41337	-1.66164	-2.27567	-1.67429	-2.36222	-1.92608	-1.48579	-1.45435	-1.66784	-0.70495	-2.43116	2.70043	-1.31829	-1.14011	-1.36894	-1.72450	-1.78693	-1.62643
CC-401_24	-1.08313	-1.11647	-1.27134	-1.14768	-1.09576	-0.87717	-0.95797	-0.91614	-0.95162	-1.02331	-0.98029	-1.18640	-0.97729	-1.12714	-1.27390	-1.53487	-1.27605	-1.38245	-1.22899	-1.48031	-1.08698	-1.27890	-1.55180	-1.34708	-1.08350	-0.92772	-1.18637	-0.88264	-1.33319	-1.28639	-0.99200	-1.08128	-1.14556	-1.09082	-1.06084	-1.11406	-1.08568	-1.04567	-1.05789	-1.09431	-1.45602	-1.01480	-0.96348	-1.03673	-1.36286	-1.12771	-1.43965	-1.23970	-0.88939	-1.08939	-1.14661	-0.72276	-0.67771	0.84920	-0.87891	-0.85688	-0.94545	-0.93918	-1.05969	-1.10584
dactolisib_24	-0.84515	-0.80779	-0.96673	-1.00061	-0.76481	-0.53296	-0.80761	-0.59843	-0.95847	-0.96447	-0.70291	-0.70891	-0.53135	-0.69681	-1.16879	-1.61209	-1.65716	-1.99139	-2.13055	4.58276	-2.07621	-2.12251	-2.40971	-2.14128	-1.39489	-0.73208	-1.14747	-0.79604	-1.36414	2.51228	0.55801	-1.88689	-1.18907	-0.74872	-0.75815	-0.68438	-0.83268	-0.71348	-0.50589	-0.88872	-2.50789	-0.62107	-0.70140	-0.77843	-2.44672	-2.13954	-1.97326	-1.32235	-0.60524	-0.64213	-0.89159	0.12130	0.23628	-0.83320	-0.29375	-0.27837	-0.39298	-1.43888	-1.09066	-0.98603
Dinaciclib_24	-1.37549	-1.42352	-1.18871	-1.20553	-1.09845	-2.18723	-1.36735	-0.97047	-1.09078	-1.37908	-1.68476	-0.83341	-0.41765	-0.50970	-1.16087	-6.29944	-5.79180	-5.60951	-3.88760	-4.95604	-1.19456	-3.54984	-5.08250	-3.36479	-2.35514	-1.37326	-1.32185	-0.80226	-0.75093	-2.98340	-1.44876	-4.01432	-2.60759	-2.01872	-1.12511	-1.39063	-1.61455	-1.11367	-0.80138	-1.20552	-2.67431	-0.85742	-0.71687	-1.20350	-3.02028	-2.39902	-1.04514	-1.25897	-2.80372	-1.32288	-1.41281	-0.58039	-0.28261	0.83605	-0.82355	-0.77114	-1.26779	-3.37254	-1.67658	-2.09541
Everolimus_24	-0.92099	-0.79255	-0.68044	-0.84156	-0.88063	-0.79410	-0.84126	-0.68692	-0.73798	-0.56326	-0.84344	-0.87905	-0.73589	-0.82840	-0.86987	-0.61429	-0.90808	-0.89777	-1.27220	-1.15522	-1.04889	-1.25721	-1.42572	-1.57336	-1.78182	-0.96883	-1.30460	-0.96852	-1.15804	-0.87172	0.40228	-1.12838	-1.11526	-1.01136	-0.81211	-0.75621	-0.96438	-0.80121	-0.66679	-0.80812	-1.48938	-0.83116	-0.76208	-0.77670	-1.28255	-1.18182	-1.27708	-1.04743	-0.74157	-0.82579	-0.85622	-0.72654	-2.40268	-0.87068	-0.92831	-0.78913	-0.72487	-0.91109	-0.93306	-0.79518
flavopiridol_24	-0.59466	-0.60857	-0.68853	-0.82102	-0.35726	-1.43312	-0.77292	-0.35978	-0.51583	-0.65311	-0.82450	-0.11563	0.32511	0.23807	-0.37570	-6.42619	-0.72224	-6.06995	-4.64721	-1.74740	-0.06207	-0.04671	-5.45908	-3.94204	-2.38066	-0.85729	-0.44147	0.03843	0.18242	-0.56701	-1.52759	-3.09497	-1.69135	-0.87743	-0.42171	-0.94507	-0.88354	-0.43216	-0.23518	-0.49316	-1.91941	-0.29310	-0.28541	-0.28767	-1.72546	-1.19072	0.01430	-0.46207	-2.27741	-0.66233	-0.69759	-0.36287	-0.31256	1.02659	-0.35375	-0.43395	-0.70653	-1.92574	-0.72796	-1.54845
